Spanish,English Translation - Meaning in English.,French Translation - Meaning in French.,Italian Translation - Meaning in Italian.,Portuguese Translation - Meaning in Portuguese.,Spanish Sentence - Story sentence using the verb in Spanish.,English Sentence - Translation of the story sentence in English.,French Sentence - Translation of the story sentence in French.,Italian Sentence - Translation of the story sentence in Italian.,Portuguese Sentence - Translation of the story sentence in Portuguese.
escribir,to write,écrire,scrivere,escrever,Escriben sus metas de salud en sus diarios.,They write their health goals in their journals.,Ils écrivent leurs objectifs de santé dans leurs journaux.,Scrivono i loro obiettivi di salute nei loro diari.,Escrevem suas metas de saúde em seus diários.
estudiar,to study,étudier,studiare,estudar,Estudian cómo el ejercicio mejora su salud mental.,They study how exercise improves their mental health.,Ils étudient comment l'exercice améliore leur santé mentale.,Studiano come l'esercizio migliora la loro salute mentale.,Estudam como o exercício melhora sua saúde mental.
explicar,to explain,expliquer,spiegare,explicar,Explican la importancia de la actividad física.,They explain the importance of physical activity.,Ils expliquent l'importance de l'activité physique.,Spiegano l'importanza dell'attività fisica.,Explicam a importância da atividade física.
fomentar,to promote,promouvoir,promuovere,promover,Fomentan una vida activa al invitar a sus amigos a caminar.,They promote an active life by inviting their friends to walk.,Ils promeuvent une vie active en invitant leurs amis à marcher.,Promuovono una vita attiva invitando i loro amici a camminare.,Promovem uma vida ativa convidando seus amigos para caminhar.
ganar,to win,gagner,vincere,ganhar,Ganaron una competencia de carrera y se sintieron muy felices.,They won a race competition and felt very happy.,Ils ont gagné une compétition de course et se sont sentis très heureux.,Hanno vinto una competizione di corsa e si sono sentiti molto felici.,Ganhou uma competição de corrida e se sentiu muito feliz.
gastar,to spend,dépenser,spendere,gastar,Gastan su dinero sabiamente para comprar comida saludable.,They spend their money wisely to buy healthy food.,Ils dépensent leur argent judicieusement pour acheter des aliments sains.,Spendono i loro soldi saggiamente per comprare cibo sano.,Gastam seu dinheiro sabiamente para comprar comida saudável.
hablar,to talk,parler,parlare,falar,Hablan sobre cómo ahorrar dinero para el futuro.,They talk about how to save money for the future.,Ils parlent de comment économiser de l'argent pour l'avenir.,Parlano di come risparmiare denaro per il futuro.,Falam sobre como economizar dinheiro para o futuro.
hacer,to do/make,faire,fare,fazer,Hacen ejercicio juntos todos los días para mantenerse saludables.,They exercise together every day to stay healthy.,Ils font de l'exercice ensemble tous les jours pour rester en bonne santé.,Fanno esercizio insieme ogni giorno per rimanere in salute.,Fazem exercício juntos todos os dias para se manterem saudáveis.
imponer,to impose,imposer,imporre,impor,Imponen reglas para una alimentación saludable en su hogar.,They impose rules for healthy eating in their home.,Ils imposent des règles pour une alimentation saine chez eux.,Impongono regole per mangiare sano a casa loro.,Impõem regras para uma alimentação saudável em casa.
incluir,to include,inclure,includere,incluir,Incluyen más proteínas en su dieta diaria.,They include more protein in their daily diet.,Ils incluent plus de protéines dans leur alimentation quotidienne.,Includono più proteine nella loro dieta quotidiana.,Incluem mais proteínas em sua dieta diária.
invertir,to invest,investir,investire,investir,Invierten en su salud al hacer ejercicio y comer bien.,They invest in their health by exercising and eating well.,Ils investissent dans leur santé en faisant de l'exercice et en mangeant bien.,Investono nella loro salute facendo esercizio e mangiando bene.,Investem em sua saúde praticando exercício e comendo bem.
ir,to go,aller,andare,ir,Van al gimnasio para hacer entrenamiento de fuerza.,They go to the gym for strength training.,Ils vont à la salle de sport pour faire de l'entraînement en force.,Vanno in palestra per fare allenamento di forza.,Vão para a academia para fazer treino de força.
levantar,to lift,lever,sollevare,levantar,Levantan pesas para mejorar su fuerza.,They lift weights to improve their strength.,Ils soulèvent des poids pour améliorer leur force.,Sollevano pesi per migliorare la loro forza.,Levantam pesos para melhorar sua força.
lograr,to achieve,réussir,riuscire,conseguir,Logran sus metas de salud con esfuerzo y dedicación.,They achieve their health goals with effort and dedication.,Ils atteignent leurs objectifs de santé avec effort et dévouement.,Raggiungono i loro obiettivi di salute con impegno e dedizione.,Alcançam suas metas de saúde com esforço e dedicação.
mantener,to maintain,maintenir,mantenere,manter,Mantienen una dieta equilibrada todos los días.,They maintain a balanced diet every day.,Ils maintiennent une alimentation équilibrée tous les jours.,Mantengono una dieta equilibrata ogni giorno.,Mantêm uma dieta equilibrada todos os dias.
medir,to measure,mesurer,misurare,medir,Miden su progreso en el ejercicio con un reloj de fitness.,They measure their progress in exercise with a fitness tracker.,Ils mesurent leurs progrès dans l'exercice avec un traqueur de fitness.,Misurano i loro progressi nell'esercizio con un tracker di fitness.,Medem seu progresso no exercício com um monitor de fitness.
mejorar,to improve,améliorer,migliorare,melhorar,Mejoran su rendimiento físico con cada entrenamiento.,They improve their performance with each workout.,Ils améliorent leurs performances à chaque entraînement.,Migliorano le loro performance ad ogni allenamento.,Melhoram seu desempenho a cada treino.
meter,to put in,mettre,mettere,colocar,Meten los ingredientes frescos en sus batidos.,They put fresh ingredients in their smoothies.,Ils mettent des ingrédients frais dans leurs smoothies.,Mettono ingredienti freschi nei loro frullati.,Colocam ingredientes frescos nos seus smoothies.
mirar,to look,regarder,guardare,olhar,Miran las estrellas mientras disfrutan de una noche activa.,They look at the stars while enjoying an active evening.,Ils regardent les étoiles tout en appréciant une soirée active.,Guardano le stelle mentre godono di una serata attiva.,Olham para as estrelas enquanto aproveitam uma noite ativa.
morir,to die,mourir,morire,morrer,Muestran respeto por la naturaleza y sus animales.,They show respect for nature and its animals.,Ils montrent du respect pour la nature et ses animaux.,Mostrano rispetto per la natura e i suoi animali.,Mostram respeito pela natureza e seus animais.
mover,to move,bouger,muovere,mover,Mueven sus cuerpos para calentarse antes de correr.,They move their bodies to warm up before running.,Ils bougent leurs corps pour se réchauffer avant de courir.,Muovono i loro corpi per riscaldarsi prima di correre.,Movem seus corpos para aquecer antes de correr.
nadar,to swim,nager,nuotare,nadar,Nadan en el lago para divertirse y hacer ejercicio.,They swim in the lake for fun and exercise.,Ils nagent dans le lac pour s'amuser et faire de l'exercice.,Nuotano nel lago per divertirsi e fare esercizio.,Nadam no lago para se divertir e se exercitar.
oler,to smell,sentir,odorare,cheirar,Huelen las flores mientras pasean por el parque.,They smell the flowers as they walk through the park.,Ils sentent les fleurs en se promenant dans le parc.,Annusano i fiori mentre passeggiano nel parco.,Cheiram as flores enquanto passeiam pelo parque.
olvidar,to forget,oublier,dimenticare,esquecer,Olvidan que deben beber agua mientras corren.,They forget to drink water while running.,Ils oublient de boire de l'eau pendant qu'ils courent.,Dimenticano di bere acqua mentre corrono.,Esquecem de beber água enquanto correm.
oponer,to oppose,opposer,opporre,opor,Oponen resistencia a los hábitos poco saludables.,They oppose unhealthy habits.,Ils s'opposent aux habitudes malsaines.,Si oppongono alle abitudini poco salutari.,Opondo-se aos hábitos não saudáveis.
ordenar,"to order, to tidy",ordonner,ordinare,ordenar,Ordenan su espacio de ejercicio después de usarlo.,They tidy their workout space after using it.,Ils rangent leur espace d'entraînement après l'avoir utilisé.,Ordinano il loro spazio di allenamento dopo averlo usato.,Organizam seu espaço de treino depois de usá-lo.
parecer,to seem,sembler,sembrare,parecer,Parecen muy felices cuando completan sus ejercicios.,They seem very happy when they finish their exercises.,Ils semblent très heureux lorsqu'ils terminent leurs exercices.,Sembrano molto felici quando finiscono i loro esercizi.,Parecem muito felizes quando terminam seus exercícios.
participar,to participate,participer,partecipare,participar,Participan en un maratón para recaudar fondos para la salud.,They participate in a marathon to raise funds for health.,Ils participent à un marathon pour collecter des fonds pour la santé.,Partecipano a una maratona per raccogliere fondi per la salute.,Participam de uma maratona para arrecadar fundos para a saúde.
pasarlo,to spend (time),passer,passare,passar,Pasaron la tarde haciendo ejercicio en el parque.,They spent the afternoon exercising in the park.,Ils ont passé l'après-midi à faire de l'exercice dans le parc.,Hanno trascorso il pomeriggio facendo esercizio nel parco.,Passaram a tarde se exercitando no parque.
pedir,to ask for,demander,chiedere,pedir,Piden consejos sobre nutrición para mejorar su salud.,They ask for advice on nutrition to improve their health.,Ils demandent des conseils sur la nutrition pour améliorer leur santé.,Chiedono consigli sulla nutrizione per migliorare la loro salute.,Pedem conselhos sobre nutrição para melhorar sua saúde.
perder,to lose,perdre,perdere,perder,Pierden energía cuando no duermen bien.,They lose energy when they don’t sleep well.,Ils perdent de l'énergie quand ils ne dorment pas bien.,Perdono energia quando non dormono bene.,Perdem energia quando não dormem bem.
poder,to be able to,pouvoir,potere,poder,Pueden correr más rápido después de entrenar mucho.,They can run faster after training a lot.,Ils peuvent courir plus vite après avoir beaucoup entraîné.,Possono correre più velocemente dopo aver allenato molto.,Podem correr mais rápido depois de treinar muito.
poner,to put,mettre,mettere,colocar,Ponen el foco en la nutrición y el ejercicio.,They put the focus on nutrition and exercise.,Ils mettent l'accent sur la nutrition et l'exercice.,Mettono l'accento sulla nutrizione e sull'esercizio.,Colocam o foco na nutrição e no exercício.
practicar,to practice,pratiquer,praticare,praticar,Practican yoga todas las mañanas.,They practice yoga every morning.,Ils pratiquent le yoga chaque matin.,Praticano lo yoga ogni mattina.,Praticam yoga todas as manhãs.
preferir,to prefer,préférer,preferire,preferir,Prefieren una dieta rica en vegetales.,They prefer a diet rich in vegetables.,Ils préfèrent un régime riche en légumes.,Preferiscono una dieta ricca di verdure.,Preferem uma dieta rica em vegetais.
preparar,to prepare,préparer,preparare,preparar,Preparan su comida para la semana el domingo.,They prepare their food for the week on Sunday.,Ils préparent leur nourriture pour la semaine le dimanche.,Prepara il cibo per la settimana la domenica.,Preparam a comida para a semana no domingo.
presentar,to present,présenter,presentare,apresentar,Presentan su proyecto sobre hábitos saludables.,They present their project on healthy habits.,Ils présentent leur projet sur les habitudes saines.,Presentano il loro progetto sulle abitudini salutari.,Apresentam seu projeto sobre hábitos saudáveis.
prestar,to lend,prêter,prestare,emprestar,Prestan atención a las señales de su cuerpo durante el ejercicio.,They pay attention to their body signals during exercise.,Ils prêtent attention aux signaux de leur corps pendant l'exercice.,Prestano attenzione ai segnali del loro corpo durante l'esercizio.,Prestam atenção aos sinais de seus corpos durante o exercício.
prohibir,to prohibit,interdire,proibire,proibir,Prohíben los alimentos procesados en su casa.,They prohibit processed foods in their house.,Ils interdisent les aliments transformés chez eux.,Proibiscono i cibi trasformati in casa.,Proíbem os alimentos processados em casa.
promover,to promote,promouvoir,promuovere,promover,Promueven el ejercicio físico entre sus amigos.,They promote physical exercise among their friends.,Ils promeuvent l'exercice physique parmi leurs amis.,Promuovono l'esercizio fisico tra i loro amici.,Promovem o exercício físico entre seus amigos.
quedarse,to stay,rester,rimanere,ficar,Se quedan en casa para descansar después del entrenamiento.,They stay at home to rest after training.,Ils restent à la maison pour se reposer après l'entraînement.,Rimangono a casa per riposarsi dopo l'allenamento.,Ficam em casa para descansar depois do treino.
quejarse,to complain,se plaindre,lamentarsi,reclamar,Se quejan cuando no tienen tiempo para hacer ejercicio.,They complain when they don’t have time to exercise.,Ils se plaignent quand ils n'ont pas le temps de s'exercer.,Si lamentano quando non hanno tempo per fare esercizio.,Reclamam quando não têm tempo para se exercitar.
querer,to want,vouloir,volere,querer,Quieren aprender más sobre nutrición para estar saludables.,They want to learn more about nutrition to stay healthy.,Ils veulent en savoir plus sur la nutrition pour rester en bonne santé.,Vogliono imparare di più sulla nutrizione per rimanere sani.,Querem aprender mais sobre nutrição para se manter saudáveis.
reciclar,to recycle,recycler,riciclare,reciclar,Reciclan sus botellas de agua después de usarlas.,They recycle their water bottles after using them.,Ils recyclent leurs bouteilles d'eau après les avoir utilisées.,Riciclano le loro bottiglie d'acqua dopo averle usate.,Reciclamos suas garrafas de água depois de usá-las.
recordar,to remember,se souvenir,ricordare,lembrar,Recuerdan que deben tomar agua durante todo el día.,They remember that they need to drink water throughout the day.,Ils se souviennent qu'ils doivent boire de l'eau toute la journée.,Ricordano che devono bere acqua durante tutto il giorno.,Lembram que precisam beber água o dia todo.
reducir,to reduce,réduire,ridurre,reduzir,Reducen el consumo de azúcar para mejorar su salud.,They reduce sugar consumption to improve their health.,Ils réduisent leur consommation de sucre pour améliorer leur santé.,Ridurranno il consumo di zucchero per migliorare la loro salute.,Reduzem o consumo de açúcar para melhorar sua saúde.
rehacer,to redo,refaire,rifare,refazer,Rehacen su rutina de ejercicio para estar más saludables.,They redo their exercise routine to be healthier.,Ils refont leur routine d'exercice pour être plus sains.,Rifanno la loro routine di esercizi per essere più sani.,Refazem sua rotina de exercícios para ficarem mais saudáveis.
reír,to laugh,rire,ridere,rir,Se ríen mucho después de hacer ejercicio juntos.,They laugh a lot after working out together.,Ils rient beaucoup après avoir fait de l'exercice ensemble.,Ridono molto dopo aver fatto esercizio insieme.,Riem muito depois de malharem juntos.
relacionar,"to relate, to connect",relier,relazionare,relacionar,Relacionan la alimentación saludable con una mejor energía.,They relate healthy eating with better energy.,Ils relient une alimentation saine à plus d'énergie.,Relazionano una dieta sana con più energia.,Relacionam alimentação saudável com mais energia.
reñir,"to scold, to quarrel",gronder,litigare,brigar,Reñían porque no entendían la importancia de dormir bien.,They quarrelled because they didn’t understand the importance of good sleep.,Ils se disputaient parce qu'ils ne comprenaient pas l'importance d'un bon sommeil.,Litigavano perché non capivano l'importanza di dormire bene.,Brigavam porque não entendiam a importância de dormir bem.
resolver,"to resolve, to solve",résoudre,risolvere,resolver,Resuelven sus diferencias sobre el mejor plan de ejercicio.,They resolve their differences about the best workout plan.,Ils résolvent leurs différends sur le meilleur plan d'entraînement.,Risolvono le loro differenze sul miglior piano di allenamento.,Resolvem suas diferenças sobre o melhor plano de exercício.
romper,to break,casser,rompere,quebrar,Rompen una regla cuando no siguen su rutina de ejercicio.,They break a rule when they don’t follow their exercise routine.,Ils cassent une règle lorsqu'ils ne suivent pas leur routine d'entraînement.,Rompono una regola quando non seguono la loro routine di esercizio.,Quebram uma regra quando não seguem sua rotina de exercícios.
saber,to know,savoir,sapere,saber,Saben que una buena hidratación es clave para su salud.,They know that good hydration is key to their health.,Ils savent qu'une bonne hydratation est essentielle pour leur santé.,Sanno che una buona idratazione è fondamentale per la loro salute.,Sabem que uma boa hidratação é fundamental para a saúde deles.
salir,"to go out, to leave",sortir,uscire,sair,Salen a caminar cada tarde para mantenerse activos.,They go out for a walk every afternoon to stay active.,Ils sortent se promener chaque après-midi pour rester actifs.,Escono a camminare ogni pomeriggio per mantenersi attivi.,Saem para caminhar todas as tardes para se manterem ativos.
salvar,to save,sauver,salvare,salvar,Salvan dinero para comprar alimentos saludables.,They save money to buy healthy food.,Ils économisent de l'argent pour acheter des aliments sains.,Salvano soldi per comprare cibo sano.,Economizam dinheiro para comprar alimentos saudáveis.
seguir,to follow,suivre,seguire,seguir,Siguen su plan de nutrición con disciplina.,They follow their nutrition plan with discipline.,Ils suivent leur plan nutritionnel avec discipline.,Seguono il loro piano nutrizionale con disciplina.,Seguem seu plano de nutrição com disciplina.
sentir,to feel,sentir,sentire,sentir,Sienten mucha energía después de una buena comida.,They feel a lot of energy after a good meal.,Ils se sentent pleins d'énergie après un bon repas.,Si sentono pieni di energia dopo un buon pasto.,Sentem muita energia após uma boa refeição.
ser,to be (permanent state),être,essere,ser,Son felices de aprender a cuidar de su salud.,They are happy to learn how to take care of their health.,Ils sont heureux d'apprendre à prendre soin de leur santé.,Sono felici di imparare a prendersi cura della loro salute.,Eles estão felizes por aprender a cuidar da saúde deles.
tener,to have,avoir,avere,ter,Tienen muchas ganas de empezar su viaje de salud.,They are excited to start their health journey.,Ils sont impatients de commencer leur voyage de santé.,Sono entusiasti di iniziare il loro viaggio di salute.,Estão animados para começar sua jornada de saúde.
tocar,to touch,toucher,toccare,tocar,Tocan instrumentos para relajarse después de entrenar.,They play instruments to relax after training.,Ils jouent des instruments pour se détendre après l'entraînement.,Suonano strumenti per rilassarsi dopo l'allenamento.,Tocam instrumentos para relaxar depois do treino.
tomar,"to take, to drink",prendre,prendere,tomar,Toman agua antes y después de hacer ejercicio.,They drink water before and after exercising.,Ils boivent de l'eau avant et après l'exercice.,Beono acqua prima e dopo l'esercizio.,Bebem água antes e depois de se exercitar.
trabajar,to work,travailler,lavorare,trabalhar,Trabajan juntos para mantener su salud.,They work together to maintain their health.,Ils travaillent ensemble pour maintenir leur santé.,Lavorano insieme per mantenere la loro salute.,Trabalham juntos para manter sua saúde.
traer,to bring,apporter,portare,trazer,Traen snacks saludables para compartir con sus amigos.,They bring healthy snacks to share with their friends.,Ils apportent des en-cas sains à partager avec leurs amis.,Portano snack salutari da condividere con i loro amici.,Trazem lanches saudáveis para compartilhar com seus amigos.
usar,to use,utiliser,usare,usar,Usan sus teléfonos para seguir sus entrenamientos.,They use their phones to follow their workouts.,Ils utilisent leurs téléphones pour suivre leurs entraînements.,Usano i loro telefoni per seguire i loro allenamenti.,Usam seus telefones para seguir seus treinos.
ver,to see,voir,vedere,ver,Ven lo importante que es descansar y hacer ejercicio.,They see how important it is to rest and exercise.,Ils voient combien il est important de se reposer et de faire de l'exercice.,Vedono quanto è importante riposare e fare esercizio.,Veem como é importante descansar e se exercitar.
venir,to come,venir,venire,vir,Vienen a visitar a sus abuelos para enseñarles sobre nutrición.,They come to visit their grandparents to teach them about nutrition.,Ils viennent rendre visite à leurs grands-parents pour leur enseigner la nutrition.,Vengono a visitare i loro nonni per insegnare loro la nutrizione.,Vêm visitar seus avós para ensiná-los sobre nutrição.
vivir,to live,vivre,vivere,viver,Viven en una ciudad donde la gente hace ejercicio cada día.,They live in a city where people exercise every day.,Ils vivent dans une ville où les gens font de l'exercice tous les jours.,Vivono in una città dove le persone fanno esercizio ogni giorno.,Moram em uma cidade onde as pessoas se exercitam todos os dias.
volar,to fly,voler,volare,voar,Volaban por el cielo mientras pensaban en su bienestar.,They flew through the sky while thinking about their well-being.,Ils volaient dans le ciel en pensant à leur bien-être.,Volavano nel cielo pensando al loro benessere.,Voavam pelo céu pensando no bem-estar deles.
votar,to vote,voter,votare,votar,Votan por los cambios positivos que quieren ver en su vida.,They vote for the positive changes they want to see in their lives.,Ils votent pour les changements positifs qu'ils veulent voir dans leur vie.,Votano per i cambiamenti positivi che vogliono vedere nella loro vita.,Votam pelas mudanças positivas que querem ver em suas vidas.
yacer,to lie down,gésir,giacere,jazer,Yacen en el pasto después de hacer ejercicio.,They lie down on the grass after exercising.,Ils sont allongés sur l'herbe après avoir fait de l'exercice.,Sono sdraiati sull'erba dopo l'esercizio.,Deitam-se na grama depois de se exercitar.
yugar,to juggle,jongler,giocolare,malabares,Yugan con pelotas mientras aprenden a coordinar su cuerpo.,They juggle with balls while learning to coordinate their body.,Ils jonglent avec des balles tout en apprenant à coordonner leur corps.,Giocolano con le palline mentre imparano a coordinare il loro corpo.,Malabareiam com bolas enquanto aprendem a coordenar seus corpos.
zanjar,to settle (a dispute),trancher,risolvere,resolver,Zanjan sus diferencias sobre qué deportes practicar.,They settle their differences about which sports to practice.,Ils règlent leurs différends sur les sports à pratiquer.,Risolvono le loro divergenze su quali sport praticare.,Resolvem suas diferenças sobre quais esportes praticar.
zurrar,to beat (with a stick),battre,picchiare,bater,Zurran el suelo con palos para hacer ejercicio.,They beat the ground with sticks to exercise.,Ils battent le sol avec des bâtons pour s'exercer.,Picchiano il suolo con i bastoni per fare esercizio.,Batem o solo com bastões para se exercitar.
